pubchem_cid	pubchem_cid_parent	canonical_smiles	canonical_smiles_parent
6446	6446	CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F	CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C)O)C)O)F
6476	6476	CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2	CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
6503	6503	C(C(CO)(CO)N)O	C(C(CO)(CO)N)O
6691	6691	CC(=O)CC(C1=CC=CC=C1)C2=C(OC3=CC=CC=C3C2=O)O	CC(=O)CC(C1=CC=CC=C1)C2=C(OC3=CC=CC=C3C2=O)O
6741	6741	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O	CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O
6832	6832	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4	CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
6834	6834	CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2	CN(C)CCC(C1=CC=C(C=C1)Br)C2=CC=CC=N2
6869	6869	CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C	CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C
6883	6883	C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]	C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
7028	7028	CC(C(C1=CC=CC=C1)O)NC	CC(C(C1=CC=CC=C1)O)NC
7029	7029	CCN(CC)C(C)C(=O)C1=CC=CC=C1	CCN(CC)C(C)C(=O)C1=CC=CC=C1
7187	7187	C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2	C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
7638	7638	C1=CC=C(C=C1)COC2=CC=C(C=C2)O	C1=CC=C(C=C1)COC2=CC=C(C=C2)O
7699	7699	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC	CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
8053	8053	CC(C)CCON=O	CC(C)CCON=O
8223	8223	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C
8226	8226	CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C	CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
